business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
2pYUBcNkUxD1Bg8FA5lCzg,Rocca,323 W Palm Ave,Tampa,FL,33602,27.9624335356,-82.4651832125,4.5,144,1,"{'Corkage': 'True', 'RestaurantsReservations': 'True', 'HasTV': 'True', 'RestaurantsTableService': 'True', 'BYOB': 'True', 'GoodForMeal': ""{u'breakfast': None, u'brunch': None, u'lunch': None, u'dinner': None, u'latenight': None, u'dessert': True}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'DogsAllowed': 'False', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': False, u'validated': None}"", 'OutdoorSeating': 'False', 'Caters': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'dressy'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'Alcohol': ""u'full_bar'"", 'RestaurantsTakeOut': 'None', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'None'}","Italian, Restaurants","{'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}"
R_Wi9jh57H_OzzAVWO71Bw,Psomi,701 N Howard Ave,Tampa,FL,33606,27.950161,-82.482754,4.5,280,1,"{'WiFi': ""u'free'"", 'Caters': 'True', 'Corkage': 'True', 'RestaurantsPriceRange2': '2', 'DogsAllowed': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'True', 'HasTV': 'False', 'Alcohol': ""u'full_bar'"", 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True', 'NoiseLevel': ""u'average'"", 'HappyHour': 'False', 'RestaurantsTableService': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BYOB': 'False'}","Mediterranean, Breakfast & Brunch, Bagels, Restaurants, Food, Bakeries, Greek","{'Monday': '0:0-0:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '8:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}"
yiN9dBRcABtQ3FuqodAZbQ,Mad Dogs & Englishmen,4115 S Macdill Ave,Tampa,FL,33611,27.9046781,-82.4941124,4.0,218,1,"{'WiFi': ""u'no'"", 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'BYOBCorkage': ""'no'"", 'Alcohol': ""u'beer_and_wine'"", 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'BikeParking': 'True', 'HappyHour': 'True', 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}"", 'CoatCheck': 'False', 'RestaurantsTableService': 'True'}","Restaurants, British, American (New)","{'Monday': '11:30-23:0', 'Tuesday': '11:30-23:0', 'Wednesday': '11:30-23:0', 'Thursday': '11:30-23:0', 'Friday': '11:30-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
tkY5BJVXxUmP4jsKavkf2g,Big Ray's Fish Camp,6116 Interbay Blvd,Tampa,FL,33611,27.8791768124,-82.4952822636,4.5,653,1,"{'RestaurantsDelivery': 'None', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'GoodForKids': 'True', 'NoiseLevel': ""'average'"", 'DriveThru': 'False', 'OutdoorSeating': 'None', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'True', 'HasTV': 'False', 'RestaurantsAttire': ""'casual'"", 'Caters': 'True', 'HappyHour': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'False', 'Alcohol': ""'beer_and_wine'"", 'BikeParking': 'False', 'GoodForMeal': ""{u'breakfast': False, u'brunch': False, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': None}"", 'RestaurantsTakeOut': 'None', 'Ambience': ""{u'divey': True, u'hipster': None, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}""}","Sandwiches, Seafood, Restaurants, Burgers","{'Tuesday': '11:0-16:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-20:0'}"
7nLhB3qajGwq4HvOCsGT5A,IL Ritorno,"449 Central Ave, Ste 101",St Petersburg,FL,33701,27.7713426,-82.6395139,4.5,252,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '3', 'WiFi': ""'no'"", 'NoiseLevel': ""u'average'"", 'RestaurantsTableService': 'True', 'Caters': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'DogsAllowed': 'False', 'RestaurantsAttire': ""u'dressy'"", 'HappyHour': 'True', 'WheelchairAccessible': 'True', 'GoodForKids': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': True, 'trendy': True, 'upscale': None, 'classy': True, 'casual': None}"", 'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{u'breakfast': False, u'brunch': False, u'lunch': False, u'dinner': True, u'latenight': False, u'dessert': None}"", 'OutdoorSeating': 'None', 'RestaurantsDelivery': 'None'}","Italian, Event Planning & Services, Caterers, Restaurants, Food","{'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}"
hV0rmTB2S2fYzjQKlHtKuw,Haven,2208 W Morrison Ave,Tampa,FL,33606,27.9335369,-82.482729,4.0,372,1,"{'DogsAllowed': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsReservations': 'True', 'WheelchairAccessible': 'True', 'CoatCheck': 'False', 'Alcohol': ""'full_bar'"", 'RestaurantsTableService': 'True', 'NoiseLevel': ""'average'"", 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'Smoking': ""u'outdoor'"", 'BYOB': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': True, 'upscale': None, 'classy': True, 'casual': False}"", 'GoodForKids': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForDancing': 'False', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'True', 'Corkage': 'True', 'Caters': 'True', 'RestaurantsAttire': ""'dressy'"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'OutdoorSeating': 'True', 'Music': ""{'dj': False}"", 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'ByAppointmentOnly': 'False'}","Nightlife, Event Planning & Services, Restaurants, Bars, Venues & Event Spaces, American (New), Wine Bars, Cocktail Bars, Tapas/Small Plates","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '16:0-22:0', 'Saturday': '17:0-22:0'}"
u_OKSYmOEpjhLCD1ZsoEDA,Restaurant BT,2507 S MacDill Ave,Tampa,FL,33629,27.9226374,-82.4939091,4.5,217,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'GoodForKids': 'False', 'RestaurantsReservations': 'True', 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'BYOBCorkage': ""'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'dressy'"", 'NoiseLevel': ""u'quiet'"", 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'True'}","American (New), Vietnamese, French, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0'}"
s29wxFmnoRdckDjwmPi1RA,Sushi Sho Rexley,214 2nd St N,Saint Petersburg,FL,33701,27.7739625,-82.6357933,4.5,121,1,"{'RestaurantsReservations': 'True', 'RestaurantsDelivery': 'None', 'NoiseLevel': ""u'quiet'"", 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': True, 'trendy': True, 'upscale': True, 'classy': True, 'casual': None}"", 'RestaurantsTakeOut': 'None', 'WiFi': ""'no'"", 'HasTV': 'True', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'False', 'BusinessParking': ""{u'valet': False, u'garage': True, u'street': True, u'lot': None, u'validated': False}""}","Restaurants, Sushi Bars","{'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}"
c7ZxVUJVjEOe9hLhvKGnDA,Noble Rice,807 W Platt St,Tampa,FL,33606,27.9418113,-82.4681587528,4.0,218,0,"{'RestaurantsGoodForGroups': 'False', 'Alcohol': ""u'beer_and_wine'"", 'GoodForKids': 'False', 'RestaurantsTableService': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'None', 'RestaurantsAttire': ""'casual'"", 'WheelchairAccessible': 'True', 'WiFi': ""'no'"", 'DogsAllowed': 'False', 'Caters': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'HasTV': 'False', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'None', 'RestaurantsTakeOut': 'None', 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': True, 'upscale': False, 'classy': None, 'casual': None}""}","Restaurants, Sushi Bars, Izakaya, Tapas/Small Plates, Japanese, Ramen","{'Monday': '0:0-0:0', 'Wednesday': '17:30-21:30', 'Thursday': '17:30-21:30', 'Friday': '17:30-21:30', 'Saturday': '17:30-21:30', 'Sunday': '17:30-20:30'}"
_XQ4oMVJwWWSK36eLMgLyw,Bistro BT,4267 Henderson Blvd,Tampa,FL,33629,27.9252077,-82.5159444,4.0,78,1,"{'Alcohol': ""u'beer_and_wine'"", 'WiFi': ""u'free'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'WheelchairAccessible': 'True', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'quiet'"", 'HappyHour': 'False', 'OutdoorSeating': 'True', 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'True', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True'}","French, Desserts, Asian Fusion, Food, Modern European, Restaurants, Vietnamese, Adult, Shopping","{'Monday': '17:0-21:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:30', 'Saturday': '17:0-21:30'}"
